weight,zone1
300,2700
400,2700
500,2700
600,2700
700,2700
800,2700
900,2700
1000,2700
1100,2815
1200,2930
1300,3045
1400,3160
1500,3275
1600,3390
1700,3505
1800,3620
1900,3735
2000,3850
2100,3965
2200,4080
2300,4195
2400,4310
2500,4425
2600,4540
2700,4655
2800,4770
2900,4885
3000,5000
3100,5115
3200,5230
3300,5345
3400,5460
3500,5575
3600,5690
3700,5805
3800,5920
3900,6035
4000,6150
4100,6265
4200,6380
4300,6495
4400,6610
4500,6725
4600,6840
4700,6955
4800,7070
4900,7185
5000,7300
5100,7405
5200,7510
5300,7615
5400,7720
5500,7825
5600,7930
5700,8035
5800,8140
5900,8245
6000,8350
6100,8455
6200,8560
6300,8665
6400,8770
6500,8875
6600,8980
6700,9085
6800,9190
6900,9295
7000,9400
7100,9505
7200,9610
7300,9715
7400,9820
7500,9925
7600,10030
7700,10135
7800,10240
7900,10345
8000,10450
8100,10555
8200,10660
8300,10765
8400,10870
8500,10975
8600,11080
8700,11185
8800,11290
8900,11395
9000,11500
9100,11605
9200,11710
9300,11815
9400,11920
9500,12025
9600,12130
9700,12235
9800,12340
9900,12445
10000,12550
10500,12900
11000,13250
11500,13600
12000,13950
12500,14300
13000,14650
13500,15000
14000,15350
14500,15700
15000,16050
15500,16400
16000,16750
16500,17100
17000,17450
17500,17800
18000,18150
18500,18500
19000,18850
19500,19200
20000,19550
21000,20250
22000,20950
23000,21650
24000,22350
25000,23050
26000,23750
27000,24450
28000,25150
29000,25850
30000,26550
1250,3045
1750,3620
20500,20250
21500,20950
22500,21650
23500,22350
24500,23050
25500,23750
26500,24450
27500,25150
28500,25850
29500,26550
